epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7669472098350525,9.999999747378752e-05,1.3494408130645752,0.6009916663169861,1.6691733598709106
1,0.8439355492591858,9.999999747378752e-05,0.6883692145347595,0.8786534667015076,0.44892290234565735
2,0.8780583143234253,9.999999747378752e-05,0.4581073820590973,0.8139352798461914,0.7037836313247681
3,0.8981536030769348,9.999999747378752e-05,0.3805069327354431,0.9305845499038696,0.2264403998851776
4,0.9106152653694153,9.999999747378752e-05,0.31887751817703247,0.9441545009613037,0.17800597846508026
5,0.9219025373458862,9.999999747378752e-05,0.2723762094974518,0.8415970802307129,0.6350799798965454
6,0.9279050230979919,9.999999747378752e-05,0.2560613751411438,0.8653444647789001,0.5422078371047974
7,0.9317544102668762,9.999999747378752e-05,0.26140937209129333,0.9339770078659058,0.21343664824962616
8,0.9536765217781067,4.999999873689376e-05,0.15652981400489807,0.9608559608459473,0.13983064889907837
9,0.9602009654045105,4.999999873689376e-05,0.12344945967197418,0.9658141732215881,0.12166813015937805
10,0.9680302739143372,4.999999873689376e-05,0.1057886928319931,0.9441545009613037,0.19710494577884674
11,0.9690741896629333,4.999999873689376e-05,0.10346180945634842,0.969989538192749,0.10558351129293442
12,0.9714229702949524,4.999999873689376e-05,0.09040042757987976,0.9532880783081055,0.1395462453365326
13,0.97311931848526,4.999999873689376e-05,0.08834843337535858,0.8757829070091248,0.5901492834091187
14,0.9722711443901062,4.999999873689376e-05,0.08865638077259064,0.9595511555671692,0.13399751484394073
15,0.9801657199859619,2.499999936844688e-05,0.06484641879796982,0.9681628346443176,0.09928303211927414
16,0.9849938154220581,2.499999936844688e-05,0.04715327173471451,0.9778183698654175,0.0805257186293602
17,0.9861682057380676,2.499999936844688e-05,0.04265087842941284,0.9744259119033813,0.09117809683084488
18,0.9876688122749329,2.499999936844688e-05,0.0360482782125473,0.9775574207305908,0.08264089375734329
19,0.99053955078125,2.499999936844688e-05,0.031244242563843727,0.9689457416534424,0.14265987277030945
20,0.9914529919624329,1.249999968422344e-05,0.025132231414318085,0.9806889295578003,0.08133500069379807
21,0.9919096827507019,1.249999968422344e-05,0.02294198051095009,0.9796450734138489,0.08513760566711426
22,0.9930840730667114,1.249999968422344e-05,0.02046062797307968,0.9825156331062317,0.08157246559858322
23,0.9948456883430481,6.24999984211172e-06,0.0159250870347023,0.982254683971405,0.08104370534420013
