epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8672930002212524,0.0010000000474974513,0.3730074465274811,0.8669102191925049,0.5618326663970947
1,0.910941481590271,0.0010000000474974513,0.24679292738437653,0.8799582719802856,0.46858763694763184
2,0.9238598346710205,0.0010000000474974513,0.21714116632938385,0.9018788933753967,0.35355085134506226
3,0.9314281940460205,0.0010000000474974513,0.19427716732025146,0.8982254862785339,0.356546550989151
4,0.9311019778251648,0.0010000000474974513,0.19221216440200806,0.8956158757209778,0.36041679978370667
5,0.9335812330245972,0.0010000000474974513,0.18553967773914337,0.8966597318649292,0.34450653195381165
6,0.9349513649940491,0.0010000000474974513,0.18521611392498016,0.8893527984619141,0.4017679691314697
7,0.9380831122398376,0.0010000000474974513,0.17582429945468903,0.9039666056632996,0.3266681134700775
8,0.9386050701141357,0.0010000000474974513,0.17174667119979858,0.8705636858940125,0.6064632534980774
9,0.9419325590133667,0.0010000000474974513,0.16726067662239075,0.882567822933197,0.4594588577747345
10,0.9412148594856262,0.0010000000474974513,0.16825377941131592,0.9008350968360901,0.38894781470298767
11,0.9471520781517029,0.0003000000142492354,0.14837272465229034,0.900313138961792,0.39891430735588074
12,0.9504795670509338,0.0003000000142492354,0.1412980556488037,0.905010461807251,0.3911314308643341
13,0.9492399096488953,0.0003000000142492354,0.14328308403491974,0.8898747563362122,0.44837212562561035
14,0.9528283476829529,9.000000136438757e-05,0.1384373903274536,0.9008350968360901,0.39983630180358887
