epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
8,0.9494356513023376,9.999999747378752e-06,0.13321161270141602,0.9668580293655396,0.09531974047422409
9,0.9675735831260681,9.999999747378752e-06,0.08643051236867905,0.9775574207305908,0.06170094758272171
10,0.975468099117279,9.999999747378752e-06,0.06263022869825363,0.9827766418457031,0.05046429485082626
11,0.9791870713233948,9.999999747378752e-06,0.048689115792512894,0.9838204383850098,0.04240277782082558
12,0.9835584163665771,9.999999747378752e-06,0.04561169072985649,0.9851252436637878,0.04927169531583786
13,0.9871468544006348,9.999999747378752e-06,0.03314335271716118,0.9856472015380859,0.04091541841626167
14,0.9876036047935486,9.999999747378752e-06,0.03229707479476929,0.9853861927986145,0.05352623760700226
15,0.9898871183395386,9.999999747378752e-06,0.027936842292547226,0.9903444647789001,0.03459892421960831
16,0.9890389442443848,9.999999747378752e-06,0.025757189840078354,0.9843423962593079,0.05572081729769707
17,0.9914529919624329,9.999999747378752e-06,0.02167748659849167,0.9895615577697754,0.034642867743968964
18,0.9909310340881348,9.999999747378752e-06,0.02257106453180313,0.9853861927986145,0.05022904649376869
19,0.9941279888153076,2.9999998787388904e-06,0.014812146313488483,0.9900835156440735,0.03020705096423626
20,0.9950414299964905,2.9999998787388904e-06,0.011303301900625229,0.9921711683273315,0.028668886050581932
21,0.9958896040916443,2.9999998787388904e-06,0.010322540067136288,0.9913883209228516,0.029546715319156647
22,0.9966073036193848,2.9999998787388904e-06,0.009276950731873512,0.9916492700576782,0.025996603071689606
23,0.9965420365333557,2.9999998787388904e-06,0.008477511815726757,0.9900835156440735,0.0341537669301033
24,0.9963462948799133,2.9999998787388904e-06,0.008370213210582733,0.9921711683273315,0.024250371381640434
25,0.9956938624382019,2.9999998787388904e-06,0.010793211869895458,0.9916492700576782,0.02329852059483528
26,0.9969987869262695,2.9999998787388904e-06,0.006866249721497297,0.9926931262016296,0.02844984270632267
27,0.9973250031471252,2.9999998787388904e-06,0.006832393817603588,0.9921711683273315,0.03282872587442398
28,0.9974554777145386,2.9999998787388904e-06,0.005652101244777441,0.9911273717880249,0.03346020355820656
29,0.99810791015625,8.999999749903509e-07,0.0036940653808414936,0.9926931262016296,0.025588691234588623
