epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
0,0.26249998807907104,0.17412446439266205,9.999999747378752e-05,2.7054407596588135,0.3499999940395355,0.0,1.4552456140518188
1,0.3375000059604645,0.3287298083305359,9.999999747378752e-05,1.8956581354141235,0.550000011920929,0.17741934955120087,1.4253886938095093
2,0.512499988079071,0.39334729313850403,9.999999747378752e-05,1.3862425088882446,0.550000011920929,0.17741934955120087,1.5921080112457275
3,0.6000000238418579,0.4470636248588562,9.999999747378752e-05,1.1717884540557861,0.550000011920929,0.17741934955120087,1.9404739141464233
4,0.6625000238418579,0.5869600772857666,3.162277425872162e-05,0.9707626104354858,0.550000011920929,0.17741934955120087,2.149439573287964
5,0.6875,0.5335691571235657,3.162277425872162e-05,0.7736619710922241,0.550000011920929,0.17741934955120087,2.344111919403076
6,0.75,0.5309998989105225,9.99999883788405e-06,0.7192279100418091,0.550000011920929,0.17741934955120087,2.5532279014587402
7,0.7875000238418579,0.644574761390686,9.99999883788405e-06,0.7153613567352295,0.550000011920929,0.17741934955120087,2.7625980377197266
8,0.7124999761581421,0.5796793699264526,3.162277380397427e-06,0.7395930290222168,0.550000011920929,0.17741934955120087,2.9380574226379395
9,0.75,0.5893829464912415,3.162277380397427e-06,0.6903904676437378,0.550000011920929,0.17741934955120087,3.1715593338012695
10,0.7124999761581421,0.5124379396438599,9.99999883788405e-07,0.7243582010269165,0.550000011920929,0.17741934955120087,3.4908249378204346
11,0.762499988079071,0.7054696679115295,9.99999883788405e-07,0.583814263343811,0.550000011920929,0.17741934955120087,3.6653122901916504
