epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9087350368499756,9.999999747378752e-05,0.25549644231796265,0.9677103757858276,0.0918659195303917
1,0.9700676798820496,9.999999747378752e-05,0.09425672888755798,0.9673842191696167,0.09228042513132095
2,0.9765924215316772,9.999999747378752e-05,0.07016312330961227,0.9810828566551208,0.059667326509952545
3,0.9796101450920105,9.999999747378752e-05,0.061699025332927704,0.9810828566551208,0.05503271520137787
4,0.9850746393203735,9.999999747378752e-05,0.0465974360704422,0.9827136397361755,0.05806991085410118
5,0.9870320558547974,9.999999747378752e-05,0.040735386312007904,0.9843444228172302,0.04379792883992195
6,0.9882554411888123,9.999999747378752e-05,0.03632574528455734,0.985649049282074,0.04237527400255203
7,0.9900497794151306,9.999999747378752e-05,0.029885070398449898,0.985322892665863,0.04362230375409126
8,0.9902128577232361,9.999999747378752e-05,0.028120392933487892,0.9872798323631287,0.03802899643778801
9,0.9930674433708191,9.999999747378752e-05,0.02220124378800392,0.9876059889793396,0.03439205512404442
10,0.9932305812835693,9.999999747378752e-05,0.019888639450073242,0.9869536757469177,0.036802224814891815
11,0.993556797504425,9.999999747378752e-05,0.018999559804797173,0.9882583022117615,0.0370776541531086
12,0.9962482452392578,1.9999999494757503e-05,0.013174690306186676,0.9892367720603943,0.03281661495566368
13,0.9970638751983643,1.9999999494757503e-05,0.010628201067447662,0.9895629286766052,0.032745055854320526
14,0.9972269535064697,1.9999999494757503e-05,0.009680752642452717,0.9895629286766052,0.03283827751874924
15,0.9983687996864319,3.999999989900971e-06,0.007861814461648464,0.9889106154441833,0.033153705298900604
16,0.997634768486023,3.999999989900971e-06,0.0086068669334054,0.9895629286766052,0.03222600370645523
17,0.9986134767532349,3.999999989900971e-06,0.008363069966435432,0.9902152419090271,0.032248418778181076
18,0.9984503984451294,3.999999989900971e-06,0.007888532243669033,0.9895629286766052,0.031950343400239944
19,0.9988581538200378,3.999999989900971e-06,0.007449966389685869,0.9892367720603943,0.03274327889084816
