epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9170436859130859,0.0010000000474974513,0.25256481766700745,0.8157618641853333,0.7141826748847961
1,0.9499508142471313,0.0010000000474974513,0.14603939652442932,0.920928418636322,0.2115558236837387
2,0.960432767868042,0.0010000000474974513,0.11579399555921555,0.7827170491218567,0.6013697385787964
3,0.9637487530708313,0.0010000000474974513,0.10619182884693146,0.873590350151062,0.49694061279296875
4,0.960938572883606,0.0010000000474974513,0.1185910776257515,0.9503015875816345,0.1489517092704773
5,0.9724041223526001,0.0010000000474974513,0.07966554909944534,0.9784946441650391,0.06409827619791031
6,0.9770128130912781,0.0010000000474974513,0.06832996010780334,0.9459742903709412,0.18841709196567535
7,0.9768722653388977,0.0010000000474974513,0.06977754831314087,0.9682664275169373,0.09209547936916351
8,0.9792047142982483,0.0010000000474974513,0.06256858259439468,0.9201416373252869,0.21926608681678772
9,0.9885063767433167,0.0003000000142492354,0.03508683294057846,0.9846577644348145,0.043797701597213745
10,0.9919347763061523,0.0003000000142492354,0.025309333577752113,0.9918699264526367,0.02542935684323311
11,0.9928340315818787,0.0003000000142492354,0.022896716371178627,0.9853134155273438,0.048382971435785294
12,0.9931150674819946,0.0003000000142492354,0.021426616236567497,0.9933123588562012,0.02337709255516529
13,0.9935647249221802,0.0003000000142492354,0.019691085442900658,0.9933123588562012,0.02407866343855858
14,0.9948573708534241,0.0003000000142492354,0.017517751082777977,0.9866247177124023,0.044740889221429825
15,0.9952508211135864,0.0003000000142492354,0.014436278492212296,0.9829530715942383,0.11352480947971344
16,0.997583270072937,9.000000136438757e-05,0.006771727930754423,0.9942302703857422,0.02462405525147915
17,0.9983139038085938,9.000000136438757e-05,0.005593834910541773,0.9939680099487305,0.02572585642337799
18,0.9987916350364685,9.000000136438757e-05,0.004134688060730696,0.9902963638305664,0.0393323116004467
19,0.9991288185119629,2.700000004551839e-05,0.0030238479375839233,0.9947547912597656,0.047092255204916
