epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8244274854660034,0.0010000000474974513,0.5213123559951782,0.5782880783081055,1.3478779792785645
1,0.9004371166229248,0.0010000000474974513,0.27709171175956726,0.7570459246635437,0.7329759001731873
2,0.9230116605758667,0.0010000000474974513,0.2105502188205719,0.9329332113265991,0.1965891420841217
3,0.9376264214515686,0.0010000000474974513,0.17604833841323853,0.9065762162208557,0.2582051455974579
4,0.94813072681427,0.0010000000474974513,0.14688843488693237,0.806106448173523,0.7083832621574402
5,0.9551771283149719,0.0010000000474974513,0.1238216832280159,0.9204071164131165,0.2965624928474426
6,0.9765120148658752,0.00020000000949949026,0.07228261977434158,0.9663361310958862,0.10558575391769409
7,0.9801004528999329,0.00020000000949949026,0.05539413169026375,0.9665970802307129,0.11614678055047989
8,0.9864944219589233,0.00020000000949949026,0.042178504168987274,0.9652922749519348,0.10269193351268768
9,0.9880602955818176,0.00020000000949949026,0.03596873953938484,0.9705114960670471,0.1060808002948761
10,0.9896261692047119,0.00020000000949949026,0.032799676060676575,0.9618998169898987,0.1344383805990219
11,0.9897566437721252,0.00020000000949949026,0.02959665097296238,0.967901885509491,0.11251013725996017
12,0.9952371716499329,4.0000002627493814e-05,0.01813438907265663,0.9765135645866394,0.0912061333656311
13,0.9954981207847595,4.0000002627493814e-05,0.016957838088274002,0.9757307171821594,0.09140925854444504
14,0.9963462948799133,4.0000002627493814e-05,0.014885937795042992,0.975469708442688,0.09676710516214371
15,0.9964768290519714,4.0000002627493814e-05,0.01440015621483326,0.9780793190002441,0.08965345472097397
16,0.9959548711776733,4.0000002627493814e-05,0.013876001350581646,0.975469708442688,0.09293968230485916
17,0.9967377781867981,4.0000002627493814e-05,0.013354960829019547,0.974686861038208,0.09327572584152222
18,0.9970639944076538,4.0000002627493814e-05,0.012017127126455307,0.9759916663169861,0.10026223212480545
19,0.9972597360610962,8.000000889296643e-06,0.011662053875625134,0.9759916663169861,0.09343641251325607
20,0.9982383847236633,8.000000889296643e-06,0.009496678598225117,0.9757307171821594,0.09334511309862137
21,0.9986298680305481,8.000000889296643e-06,0.008947419933974743,0.9759916663169861,0.09375341981649399
22,0.998173177242279,1.6000001323845936e-06,0.009641855955123901,0.975469708442688,0.09422474354505539
