epoch;f1;loss;lr;val_f1;val_loss
0;0.2027394026517868;1.9196059703826904;6e-05;0.0;1.435145378112793
1;0.2267322540283203;1.707324504852295;6e-05;0.0;1.7486624717712402
2;0.25641563534736633;1.5299888849258423;6e-05;0.0;1.3738090991973877
3;0.30260923504829407;1.3989217281341553;6e-05;0.012340599671006203;1.3022899627685547
4;0.360463410615921;1.26834237575531;6e-05;0.03785755857825279;1.2571648359298706
5;0.43177101016044617;1.1466522216796875;6e-05;0.22208529710769653;1.0248279571533203
0;0.19065149128437042;1.884243130683899;6e-05;0.0;1.0836843252182007
1;0.22547292709350586;1.6781433820724487;6e-05;0.0;1.087146520614624
2;0.2442958652973175;1.53718900680542;6e-05;0.11942699551582336;0.997774600982666
3;0.2987028956413269;1.388449788093567;6e-05;0.3192841112613678;0.8901137709617615
4;0.3454323410987854;1.281359076499939;6e-05;0.5225131511688232;0.8018699884414673
5;0.40079009532928467;1.1746351718902588;6e-05;0.4527118504047394;0.8549864292144775
6;0.47065725922584534;1.0567408800125122;6e-05;0.6177008152008057;0.7582880854606628
7;0.528994083404541;0.9556228518486023;6e-05;0.7005070447921753;0.6945047378540039
8;0.6023867130279541;0.8625147938728333;6e-05;0.7867835760116577;0.6178719401359558
9;0.6793341040611267;0.7660075426101685;6e-05;0.8579792380332947;0.5327927470207214
10;0.7413314580917358;0.6809074282646179;6e-05;0.9147729873657227;0.4664227366447449
11;0.7887555360794067;0.5956549048423767;6e-05;0.9567782282829285;0.38614940643310547
12;0.8357694745063782;0.5267101526260376;6e-05;0.9798412919044495;0.3248213827610016
13;0.8713886141777039;0.4673416316509247;6e-05;0.9871696829795837;0.29688015580177307
14;0.9082911014556885;0.393106609582901;6e-05;0.9967440366744995;0.23432768881320953
15;0.9205572009086609;0.3523361384868622;6e-05;0.9987789988517761;0.19560670852661133
16;0.9472713470458984;0.3005104064941406;6e-05;0.9995930194854736;0.17020569741725922
17;0.9611427187919617;0.2572929859161377;6e-05;0.9995930194854736;0.14485688507556915
18;0.9691193103790283;0.2277919203042984;6e-05;1.0;0.12418819963932037
19;0.9756972193717957;0.19964200258255005;6e-05;1.0;0.10314429551362991
20;0.9829699993133545;0.16871178150177002;6e-05;1.0;0.08577961474657059
21;0.9861114025115967;0.1525903344154358;6e-05;1.0;0.07379987835884094
22;0.9892100691795349;0.13153564929962158;6e-05;1.0;0.06793636828660965
23;0.9920965433120728;0.11739224195480347;6e-05;1.0;0.05610806494951248
24;0.9923076033592224;0.10475926846265793;6e-05;1.0;0.0459074005484581
25;0.9963217377662659;0.09216873347759247;6e-05;1.0;0.039763517677783966
26;0.9963186979293823;0.08365451544523239;6e-05;1.0;0.03600500151515007
27;0.9961189031600952;0.07174619287252426;6e-05;1.0;0.03198143467307091
28;0.9973112940788269;0.06624913960695267;6e-05;1.0;0.028435025364160538
29;0.9977583289146423;0.058793146163225174;6e-05;1.0;0.02503403276205063
30;0.9978492856025696;0.05309901386499405;6e-05;1.0;0.02323891967535019
31;0.9983686804771423;0.04870034381747246;6e-05;1.0;0.02138296514749527
32;0.9992858171463013;0.04312342405319214;6e-05;1.0;0.019185874611139297
